,Country,Happiness Rank,Happiness Score_x,Economy (GDP per Capita)_x,Freedom_x,Trust (Government Corruption)_x,Generosity_x,Year,index,Regional indicator,Happiness Score_y,Standard error of ladder score,upperwhisker,lowerwhisker,Economy (GDP per Capita)_y,Social support,Healthy life expectancy,Freedom_y,Generosity_y,Trust (Government Corruption)_y,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Rank 2020,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,McMeal($),Unnamed: 9
0,Switzerland,1,7.587,1.39651,0.66557,0.41978,0.29678,2015,2,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,2.0,125.69,51.2,89.41,124.93,118.55,114.83,15.36,
1,Iceland,2,7.561,1.30232,0.62877,0.14145,0.4363,2015,3,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,4.0,90.19,38.54,65.04,80.91,97.17,74.78,13.31,
2,Denmark,3,7.527,1.32548,0.64938,0.48357,0.34139,2015,1,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,6.0,85.02,33.1,59.74,65.85,95.71,101.27,12.63,
3,Norway,4,7.522,1.459,0.66973,0.36503,0.34699,2015,5,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,3.0,96.8,32.61,65.54,89.55,96.81,83.4,12.36,
4,Canada,5,7.427,1.32629,0.63297,0.32957,0.45811,2015,13,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,31.0,66.18,29.28,48.21,63.4,59.6,83.22,7.68,
5,Finland,6,7.406,1.29025,0.64169,0.41372,0.23351,2015,0,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,20.0,72.71,25.89,49.91,59.61,77.75,93.94,9.52,
6,Netherlands,7,7.378,1.32944,0.61576,0.31814,0.4761,2015,4,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17.0,74.63,35.59,55.62,57.81,76.09,86.76,9.52,
7,Sweden,8,7.364,1.33171,0.6598,0.43844,0.36262,2015,6,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,22.0,72.31,25.86,49.69,63.62,71.03,94.04,9.36,
8,New Zealand,9,7.286,1.25018,0.63938,0.42922,0.47501,2015,8,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,23.0,71.83,31.74,52.31,66.29,63.05,87.22,8.36,
9,Australia,10,7.284,1.33358,0.65124,0.35637,0.43562,2015,10,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,16.0,75.89,34.18,55.58,70.62,68.88,103.38,8.8,
