country,period,h_index,Variable_x,alco,Variable_y,homi,Variable_x,road,Variable_y,suic
Afghanistan,2015,3.575,alco,0.0,homi,14.44,road,4942.0,suic,3.57
Afghanistan,2015,3.575,alco,0.0,homi,14.44,road,4942.0,suic,3.97
Afghanistan,2015,3.575,alco,0.0,homi,14.44,road,4942.0,suic,4.34
Afghanistan,2015,3.575,alco,0.0,homi,3.44,road,4942.0,suic,3.57
Afghanistan,2015,3.575,alco,0.0,homi,3.44,road,4942.0,suic,3.97
Afghanistan,2015,3.575,alco,0.0,homi,3.44,road,4942.0,suic,4.34
Afghanistan,2015,3.575,alco,0.0,homi,9.09,road,4942.0,suic,3.57
Afghanistan,2015,3.575,alco,0.0,homi,9.09,road,4942.0,suic,3.97
Afghanistan,2015,3.575,alco,0.0,homi,9.09,road,4942.0,suic,4.34
Afghanistan,2019,3.203,alco,0.0,homi,13.29,road,6033.0,suic,3.61
Afghanistan,2019,3.203,alco,0.0,homi,13.29,road,6033.0,suic,4.13
Afghanistan,2019,3.203,alco,0.0,homi,13.29,road,6033.0,suic,4.63
Afghanistan,2019,3.203,alco,0.0,homi,3.36,road,6033.0,suic,3.61
Afghanistan,2019,3.203,alco,0.0,homi,3.36,road,6033.0,suic,4.13
Afghanistan,2019,3.203,alco,0.0,homi,3.36,road,6033.0,suic,4.63
Afghanistan,2019,3.203,alco,0.0,homi,8.46,road,6033.0,suic,3.61
Afghanistan,2019,3.203,alco,0.0,homi,8.46,road,6033.0,suic,4.13
Afghanistan,2019,3.203,alco,0.0,homi,8.46,road,6033.0,suic,4.63
Albania,2015,4.959,alco,10.3,homi,2.32,road,398.0,suic,3.17
Albania,2015,4.959,alco,10.3,homi,2.32,road,398.0,suic,4.76
Albania,2015,4.959,alco,10.3,homi,2.32,road,398.0,suic,6.28
Albania,2015,4.959,alco,10.3,homi,3.96,road,398.0,suic,3.17
Albania,2015,4.959,alco,10.3,homi,3.96,road,398.0,suic,4.76
Albania,2015,4.959,alco,10.3,homi,3.96,road,398.0,suic,6.28
Albania,2015,4.959,alco,10.3,homi,5.54,road,398.0,suic,3.17
Albania,2015,4.959,alco,10.3,homi,5.54,road,398.0,suic,4.76
Albania,2015,4.959,alco,10.3,homi,5.54,road,398.0,suic,6.28
Albania,2015,4.959,alco,2.4,homi,2.32,road,398.0,suic,3.17
Albania,2015,4.959,alco,2.4,homi,2.32,road,398.0,suic,4.76
Albania,2015,4.959,alco,2.4,homi,2.32,road,398.0,suic,6.28
Albania,2015,4.959,alco,2.4,homi,3.96,road,398.0,suic,3.17
Albania,2015,4.959,alco,2.4,homi,3.96,road,398.0,suic,4.76
Albania,2015,4.959,alco,2.4,homi,3.96,road,398.0,suic,6.28
Albania,2015,4.959,alco,2.4,homi,5.54,road,398.0,suic,3.17
Albania,2015,4.959,alco,2.4,homi,5.54,road,398.0,suic,4.76
Albania,2015,4.959,alco,2.4,homi,5.54,road,398.0,suic,6.28
Albania,2015,4.959,alco,6.4,homi,2.32,road,398.0,suic,3.17
Albania,2015,4.959,alco,6.4,homi,2.32,road,398.0,suic,4.76
Albania,2015,4.959,alco,6.4,homi,2.32,road,398.0,suic,6.28
Albania,2015,4.959,alco,6.4,homi,3.96,road,398.0,suic,3.17
Albania,2015,4.959,alco,6.4,homi,3.96,road,398.0,suic,4.76
Albania,2015,4.959,alco,6.4,homi,3.96,road,398.0,suic,6.28
Albania,2015,4.959,alco,6.4,homi,5.54,road,398.0,suic,3.17
Albania,2015,4.959,alco,6.4,homi,5.54,road,398.0,suic,4.76
Albania,2015,4.959,alco,6.4,homi,5.54,road,398.0,suic,6.28
Albania,2019,4.719,alco,11.0,homi,2.1,road,337.1,suic,2.68
Albania,2019,4.719,alco,11.0,homi,2.1,road,337.1,suic,4.34
Albania,2019,4.719,alco,11.0,homi,2.1,road,337.1,suic,5.94
Albania,2019,4.719,alco,11.0,homi,3.56,road,337.1,suic,2.68
Albania,2019,4.719,alco,11.0,homi,3.56,road,337.1,suic,4.34
Albania,2019,4.719,alco,11.0,homi,3.56,road,337.1,suic,5.94
Albania,2019,4.719,alco,11.0,homi,4.97,road,337.1,suic,2.68
Albania,2019,4.719,alco,11.0,homi,4.97,road,337.1,suic,4.34
Albania,2019,4.719,alco,11.0,homi,4.97,road,337.1,suic,5.94
Albania,2019,4.719,alco,2.5,homi,2.1,road,337.1,suic,2.68
Albania,2019,4.719,alco,2.5,homi,2.1,road,337.1,suic,4.34
Albania,2019,4.719,alco,2.5,homi,2.1,road,337.1,suic,5.94
Albania,2019,4.719,alco,2.5,homi,3.56,road,337.1,suic,2.68
Albania,2019,4.719,alco,2.5,homi,3.56,road,337.1,suic,4.34
Albania,2019,4.719,alco,2.5,homi,3.56,road,337.1,suic,5.94
Albania,2019,4.719,alco,2.5,homi,4.97,road,337.1,suic,2.68
