country,period,h_index,Variable_x,homi,Variable_y,road,Variable,suic
Afghanistan,2015,3.575,homi,14.44,road,4942.0,suic,3.57
Afghanistan,2015,3.575,homi,14.44,road,4942.0,suic,3.97
Afghanistan,2015,3.575,homi,14.44,road,4942.0,suic,4.34
Afghanistan,2015,3.575,homi,3.44,road,4942.0,suic,3.57
Afghanistan,2015,3.575,homi,3.44,road,4942.0,suic,3.97
Afghanistan,2015,3.575,homi,3.44,road,4942.0,suic,4.34
Afghanistan,2015,3.575,homi,9.09,road,4942.0,suic,3.57
Afghanistan,2015,3.575,homi,9.09,road,4942.0,suic,3.97
Afghanistan,2015,3.575,homi,9.09,road,4942.0,suic,4.34
Afghanistan,2016,3.36,homi,14.25,road,5240.0,suic,3.61
Afghanistan,2016,3.36,homi,14.25,road,5240.0,suic,4.01
Afghanistan,2016,3.36,homi,14.25,road,5240.0,suic,4.39
Afghanistan,2016,3.36,homi,3.48,road,5240.0,suic,3.61
Afghanistan,2016,3.36,homi,3.48,road,5240.0,suic,4.01
Afghanistan,2016,3.36,homi,3.48,road,5240.0,suic,4.39
Afghanistan,2016,3.36,homi,9.02,road,5240.0,suic,3.61
Afghanistan,2016,3.36,homi,9.02,road,5240.0,suic,4.01
Afghanistan,2016,3.36,homi,9.02,road,5240.0,suic,4.39
Afghanistan,2017,3.79399991035461,homi,13.16,road,5490.0,suic,3.44
Afghanistan,2017,3.79399991035461,homi,13.16,road,5490.0,suic,4.06
Afghanistan,2017,3.79399991035461,homi,13.16,road,5490.0,suic,4.64
Afghanistan,2017,3.79399991035461,homi,3.26,road,5490.0,suic,3.44
Afghanistan,2017,3.79399991035461,homi,3.26,road,5490.0,suic,4.06
Afghanistan,2017,3.79399991035461,homi,3.26,road,5490.0,suic,4.64
Afghanistan,2017,3.79399991035461,homi,8.35,road,5490.0,suic,3.44
Afghanistan,2017,3.79399991035461,homi,8.35,road,5490.0,suic,4.06
Afghanistan,2017,3.79399991035461,homi,8.35,road,5490.0,suic,4.64
Afghanistan,2018,3.632,homi,13.41,road,5295.0,suic,3.52
Afghanistan,2018,3.632,homi,13.41,road,5295.0,suic,4.06
Afghanistan,2018,3.632,homi,13.41,road,5295.0,suic,4.56
Afghanistan,2018,3.632,homi,3.36,road,5295.0,suic,3.52
Afghanistan,2018,3.632,homi,3.36,road,5295.0,suic,4.06
Afghanistan,2018,3.632,homi,3.36,road,5295.0,suic,4.56
Afghanistan,2018,3.632,homi,8.52,road,5295.0,suic,3.52
Afghanistan,2018,3.632,homi,8.52,road,5295.0,suic,4.06
Afghanistan,2018,3.632,homi,8.52,road,5295.0,suic,4.56
Afghanistan,2019,3.203,homi,13.29,road,6033.0,suic,3.61
Afghanistan,2019,3.203,homi,13.29,road,6033.0,suic,4.13
Afghanistan,2019,3.203,homi,13.29,road,6033.0,suic,4.63
Afghanistan,2019,3.203,homi,3.36,road,6033.0,suic,3.61
Afghanistan,2019,3.203,homi,3.36,road,6033.0,suic,4.13
Afghanistan,2019,3.203,homi,3.36,road,6033.0,suic,4.63
Afghanistan,2019,3.203,homi,8.46,road,6033.0,suic,3.61
Afghanistan,2019,3.203,homi,8.46,road,6033.0,suic,4.13
Afghanistan,2019,3.203,homi,8.46,road,6033.0,suic,4.63
Albania,2015,4.959,homi,2.32,road,398.0,suic,3.17
Albania,2015,4.959,homi,2.32,road,398.0,suic,4.76
Albania,2015,4.959,homi,2.32,road,398.0,suic,6.28
Albania,2015,4.959,homi,3.96,road,398.0,suic,3.17
Albania,2015,4.959,homi,3.96,road,398.0,suic,4.76
Albania,2015,4.959,homi,3.96,road,398.0,suic,6.28
Albania,2015,4.959,homi,5.54,road,398.0,suic,3.17
Albania,2015,4.959,homi,5.54,road,398.0,suic,4.76
Albania,2015,4.959,homi,5.54,road,398.0,suic,6.28
Albania,2016,4.655,homi,2.21,road,399.0,suic,3.05
Albania,2016,4.655,homi,2.21,road,399.0,suic,4.69
Albania,2016,4.655,homi,2.21,road,399.0,suic,6.27
Albania,2016,4.655,homi,3.78,road,399.0,suic,3.05
Albania,2016,4.655,homi,3.78,road,399.0,suic,4.69
Albania,2016,4.655,homi,3.78,road,399.0,suic,6.27
Albania,2016,4.655,homi,5.29,road,399.0,suic,3.05
Albania,2016,4.655,homi,5.29,road,399.0,suic,4.69
Albania,2016,4.655,homi,5.29,road,399.0,suic,6.27
Albania,2017,4.64400005340576,homi,2.0,road,329.9,suic,2.94
Albania,2017,4.64400005340576,homi,2.0,road,329.9,suic,4.67
Albania,2017,4.64400005340576,homi,2.0,road,329.9,suic,6.33
Albania,2017,4.64400005340576,homi,3.4,road,329.9,suic,2.94
Albania,2017,4.64400005340576,homi,3.4,road,329.9,suic,4.67
Albania,2017,4.64400005340576,homi,3.4,road,329.9,suic,6.33
Albania,2017,4.64400005340576,homi,4.74,road,329.9,suic,2.94
Albania,2017,4.64400005340576,homi,4.74,road,329.9,suic,4.67
Albania,2017,4.64400005340576,homi,4.74,road,329.9,suic,6.33
Albania,2018,4.586,homi,2.16,road,316.9,suic,2.8
Albania,2018,4.586,homi,2.16,road,316.9,suic,4.52
Albania,2018,4.586,homi,2.16,road,316.9,suic,6.18
Albania,2018,4.586,homi,3.67,road,316.9,suic,2.8
Albania,2018,4.586,homi,3.67,road,316.9,suic,4.52
Albania,2018,4.586,homi,3.67,road,316.9,suic,6.18
Albania,2018,4.586,homi,5.12,road,316.9,suic,2.8
Albania,2018,4.586,homi,5.12,road,316.9,suic,4.52
Albania,2018,4.586,homi,5.12,road,316.9,suic,6.18
Albania,2019,4.719,homi,2.1,road,337.1,suic,2.68
Albania,2019,4.719,homi,2.1,road,337.1,suic,4.34
Albania,2019,4.719,homi,2.1,road,337.1,suic,5.94
Albania,2019,4.719,homi,3.56,road,337.1,suic,2.68
Albania,2019,4.719,homi,3.56,road,337.1,suic,4.34
Albania,2019,4.719,homi,3.56,road,337.1,suic,5.94
Albania,2019,4.719,homi,4.97,road,337.1,suic,2.68
Albania,2019,4.719,homi,4.97,road,337.1,suic,4.34
Albania,2019,4.719,homi,4.97,road,337.1,suic,5.94
Algeria,2015,5.605,homi,0.77,road,8415.0,suic,1.99
Algeria,2015,5.605,homi,0.77,road,8415.0,suic,2.68
Algeria,2015,5.605,homi,0.77,road,8415.0,suic,3.36
Algeria,2015,5.605,homi,1.67,road,8415.0,suic,1.99
Algeria,2015,5.605,homi,1.67,road,8415.0,suic,2.68
Algeria,2015,5.605,homi,1.67,road,8415.0,suic,3.36
Algeria,2015,5.605,homi,2.54,road,8415.0,suic,1.99
Algeria,2015,5.605,homi,2.54,road,8415.0,suic,2.68
Algeria,2015,5.605,homi,2.54,road,8415.0,suic,3.36
Algeria,2016,6.355,homi,0.77,road,8538.0,suic,1.91
Algeria,2016,6.355,homi,0.77,road,8538.0,suic,2.55
Algeria,2016,6.355,homi,0.77,road,8538.0,suic,3.18
Algeria,2016,6.355,homi,1.66,road,8538.0,suic,1.91
Algeria,2016,6.355,homi,1.66,road,8538.0,suic,2.55
Algeria,2016,6.355,homi,1.66,road,8538.0,suic,3.18
Algeria,2016,6.355,homi,2.53,road,8538.0,suic,1.91
Algeria,2016,6.355,homi,2.53,road,8538.0,suic,2.55
Algeria,2016,6.355,homi,2.53,road,8538.0,suic,3.18
Algeria,2017,5.87200021743774,homi,0.77,road,8698.0,suic,1.86
Algeria,2017,5.87200021743774,homi,0.77,road,8698.0,suic,2.46
Algeria,2017,5.87200021743774,homi,0.77,road,8698.0,suic,3.05
Algeria,2017,5.87200021743774,homi,1.65,road,8698.0,suic,1.86
Algeria,2017,5.87200021743774,homi,1.65,road,8698.0,suic,2.46
Algeria,2017,5.87200021743774,homi,1.65,road,8698.0,suic,3.05
Algeria,2017,5.87200021743774,homi,2.51,road,8698.0,suic,1.86
Algeria,2017,5.87200021743774,homi,2.51,road,8698.0,suic,2.46
