IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,TCD,Chad,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0,,,0,,3.4,0 [0 – 3.4],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0,,,0,,3.4,0 [0 – 3.4],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,true,Residence Area Type,Total,TOTL,,,,,,,,,,0,,,0,,3.8,0 [0 – 3.8],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0,,,0,,4.4,0 [0 – 4.4],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,true,Residence Area Type,Urban,URB,,,,,,,,,,0,,,0,,5.3,0 [0 – 5.3],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0,,,0,,6.1,0 [0 – 6.1],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0.1,,,0,,2.3,0.1 [0 – 2.3],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0.1,,,0,,3.3,0.1 [0 – 3.3],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,NER,Niger,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0.1,,,0,,3.6,0.1 [0 – 3.6],,,EN,2021-06-07T07:00:00.000Z
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),text,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Residence Area Type,Rural,RUR,,,,,,,,,,0.2,,,0,,2.4,0.2 [0 – 2.4],,,EN,2021-06-07T07:00:00.000Z
