IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0,,,0,,0,0 [0 – 0],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.32,,,0.22,,0.45,0.32 [0.22 – 0.45],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.39,,,0.27,,0.56,0.39 [0.27 – 0.56],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.59,,,0.45,,0.75,0.59 [0.45 – 0.75],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.6,,,0.37,,0.88,0.6 [0.37 – 0.88],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.62,,,0.44,,0.83,0.62 [0.44 – 0.83],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.66,,,0.47,,0.9,0.66 [0.47 – 0.9],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.69,,,0.45,,1.02,0.69 [0.45 – 1.02],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.7,,,0.42,,1.08,0.7 [0.42 – 1.08],,,EN,2021-02-09T08:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,GRD,Grenada,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.73,,,0.49,,1.04,0.73 [0.49 – 1.04],,,EN,2021-02-09T08:00:00.000Z
